embedding,model,params,accuracy,precision,recall,f1
TFIDF_UNIGRAM,LSTM,"units=4, epochs=2",0.9144666666666666,0.9048786783686112,0.927749106788408,0.916171185886965
TFIDF_UNIGRAM,LSTM,"units=8, epochs=2",0.9298,0.9277821625887924,0.9333068678046844,0.9305363150603602
TFIDF_UNIGRAM,LSTM,"units=12, epochs=2",0.9404,0.9353194825558604,0.9472012703453752,0.9412228796844182
TFIDF_UNIGRAM,LSTM,"units=16, epochs=2",0.9475333333333333,0.9366615067079463,0.9608310175995766,0.9485923313083807
TFIDF_UNIGRAM,LSTM,"units=20, epochs=2",0.9527333333333333,0.9502893214097843,0.956199550086013,0.9532352747180265
TFIDF_UNIGRAM,LSTM,"units=24, epochs=2",0.9562,0.9470069966312517,0.9671827444753209,0.9569885433715221
TFIDF_UNIGRAM,LSTM,"units=28, epochs=2",0.957,0.9549763033175356,0.9599047240968638,0.9574341714511978
TFIDF_UNIGRAM,LSTM,"units=32, epochs=2",0.9616666666666667,0.9518508930882733,0.9731374884213312,0.9623764967611071
TFIDF_UNIGRAM,LSTM,"units=36, epochs=2",0.9633333333333334,0.9620203085849928,0.9653301574698955,0.9636723910171731
TFIDF_UNIGRAM,LSTM,"units=40, epochs=2",0.9641333333333333,0.958458523840627,0.9708879184861717,0.964633184328162
TFIDF_UNIGRAM,LSTM,"units=44, epochs=2",0.9674,0.962202458801988,0.9735344713510652,0.9678352956653292
TFIDF_UNIGRAM,LSTM,"units=48, epochs=2",0.9694,0.9714399574920297,0.9677120550482996,0.9695724229366921
TFIDF_UNIGRAM,LSTM,"units=52, epochs=2",0.97,0.9696048632218845,0.9708879184861717,0.9702459666754827
TFIDF_UNIGRAM,LSTM,"units=56, epochs=2",0.9710666666666666,0.967818205700775,0.9749900754267566,0.9713909030982202
TFIDF_UNIGRAM,LSTM,"units=60, epochs=2",0.9728,0.9741345005968961,0.9718142119888845,0.972972972972973
TFIDF_UNIGRAM,LSTM,"units=64, epochs=2",0.9730666666666666,0.9673330719979093,0.9796215429403202,0.9734385272846812
TFIDF_UNIGRAM,LSTM,"units=72, epochs=2",0.9751333333333333,0.9770252324037184,0.9735344713510652,0.9752767283091404
TFIDF_UNIGRAM,LSTM,"units=80, epochs=2",0.9762666666666666,0.972816808929744,0.9802831811565436,0.9765357237015555
TFIDF_UNIGRAM,LSTM,"units=96, epochs=2",0.9794666666666667,0.974348907211098,0.9851793039565966,0.9797341755494144
TFIDF_UNIGRAM,LSTM,"units=128, epochs=2",0.9834,0.9838453389830508,0.9831943893079265,0.983519756436561
